0,x,Port Stanley,Mallorytown,Meaford,Dwight,Dorset,Whitby,Hanover,Hemlo,Galt,Stevensville,Casselman,Manotick,Morrisburg,Palmer Rapids,Kingsville,Caledonia,Atwood,Millbrook,Rockwood,Yarker,Tara,Sunderland,Thorold,Elora,Creemore,Paquette Corner,Cat Lake,Harrietsville,Foleyet,Kingfisher Lake,Pelham,Madoc,Seeleys Bay,North Bay,Dunnville,Iroquois Falls,Foymount,Port Cunnington,Port Dover,Oakville,Humphrey,Alderville First Nation,Southampton,Cobalt,Hearst,Tavistock,Chatsworth,Oba,Avonmore,Douglastown,Barry`s Bay,Beeton,Temagami,Utterson,Thessalon First Nation,Bracebridge,Dundas,Woodville,Courtright,Marten River,Cold Springs,Grand Bend,Wainfleet,Thornhill,Hagersville,Virginiatown,Queenston,Morson,Lucan,Bradford West Gwillimbury,Fort Erie,Haldimand,Redbridge,Thurlow,Wallaceburg,Navan,Toronto Island,Seaforth,Brigden,St. Isidore de Prescott,Haileybury,Little Britain,Fingal,Adolphustown,Smiths Falls,North Gower,Exeter,Kincardine,Holstein,Queensville,Winchester,Upsala,Pleasant Park,Ancaster,Keewatin,Macdiarmid,Sandy Lake First Nation,Emsdale,Kinmount,Killarney
1,Port Stanley,0,524391,282542,427454,418509,269695,197371,1064686,127921,244310,659233,626889,599089,502997,176018,163310,133066,318757,170067,447902,233727,298509,221171,165331,255858,177272,ZEROR,45751,932177,ZEROR,205748,409253,497142,529558,150341,857988,529197,439043,102835,184136,396600,345229,237248,673243,1114497,97653,224180,1172858,640550,243496,514446,261391,626395,391121,777238,370608,152548,319627,124075,585670,330371,108073,172130,224151,112932,774296,229362,1656619,76008,250378,252466,133532,546022,400715,121895,662966,ZEROR,122017,108679,676385,683344,311145,11706,458701,556250,616493,94185,198100,188335,264051,620053,1511055,161453,143817,1751593,1329640,ZEROR,429378,393013,599362
2,Mallorytown,524391,0,482047,378948,361007,270597,482327,1269870,398926,461121,139802,107458,79658,236530,666390,411148,464327,239794,382846,89166,501798,310440,437981,417829,433091,667645,ZEROR,479680,927813,ZEROR,435824,171638,40424,465568,431409,793998,189293,383678,461263,353474,512675,212857,523391,609253,1050507,445598,472995,1159999,121119,460307,263955,377465,562406,428848,805618,408335,389223,320508,618119,521680,214163,521804,444205,318691,436358,710306,446172,2017940,494961,351659,469277,431307,482033,130899,612267,143535,ZEROR,496860,591855,156954,619354,303370,520843,120742,59089,97062,499768,523258,454000,345856,100622,1686639,651826,394631,2039741,1395453,ZEROR,467105,320238,715437
3,Meaford,282542,482047,0,220822,211877,215100,82712,1019172,160658,280605,617259,584915,557115,327899,423783,230633,136766,264162,131676,405928,54094,172149,257466,116249,58260,425037,ZEROR,237073,709859,ZEROR,255309,354659,455168,322926,250894,651355,354098,232411,238485,176300,174282,290635,66955,466611,907865,170827,44109,1017357,598576,279792,354850,119816,419763,184488,554920,163975,179207,167765,311754,379037,277184,215101,263690,169556,255843,567663,265657,1796841,196307,125964,288761,250792,339390,358741,328213,513816,ZEROR,168179,296537,634410,476712,189253,278236,416727,514275,574519,195000,116768,77420,137829,578079,1465541,409218,214116,1818642,1252811,ZEROR,222745,191795,377044
4,Dwight,427454,378948,220822,0,18476,199154,257923,926245,302172,371820,375191,328085,397851,163897,569636,321847,306055,165469,286092,296993,275189,155768,348680,272198,185331,570891,ZEROR,382926,607106,ZEROR,346523,207280,352462,144862,342108,473292,166760,11589,371962,260329,76501,208838,296782,288547,729801,348844,246386,839293,395630,371006,134028,194492,241699,39336,461993,59078,299922,151384,521365,200973,195387,425050,354904,230245,347057,389600,356871,1697233,398207,186653,379976,342007,161326,255366,515513,343112,ZEROR,336806,495101,394138,298648,153831,424089,314020,341068,336349,403014,329881,252736,198518,372466,1365933,555072,305330,1719034,1074747,ZEROR,44682,86824,284117
5,Dorset,418509,361007,211877,18476,0,190166,248935,944765,293184,362831,390784,343678,413445,179491,560648,312859,297067,147558,277104,279081,266201,146780,339692,263210,176343,561902,ZEROR,373938,625627,ZEROR,337535,189369,334550,163383,333120,491812,182354,23251,362973,251341,95022,190927,287794,307068,748322,339856,237397,857814,411223,362018,149622,185504,260220,59536,480514,50090,290933,129393,512376,219494,177476,416061,345916,221256,338069,408120,347883,1715754,389218,177664,370987,333018,179847,237454,506525,358705,ZEROR,327818,486112,409731,317169,135919,415101,296109,321619,351943,394026,320893,243747,189530,388059,1384454,546084,296342,1737555,1093268,ZEROR,63203,68913,302638
6,Whitby,269695,270597,215100,199154,190166,0,223953,1089431,137690,199885,405057,372713,344913,245627,405155,149912,203091,61386,121611,193727,243424,44420,176746,156594,164957,406409,ZEROR,218444,780119,ZEROR,174589,151883,242966,301266,170173,629695,271826,210750,200027,92239,244541,93121,265017,444950,886204,184363,214621,995697,386374,199071,257075,109332,398103,162828,625180,142315,127987,62256,356883,357377,76195,260568,182970,50558,175122,546003,184937,1867101,233725,84719,208041,170072,317730,146539,351032,408791,ZEROR,235624,330619,422209,455051,53774,259608,204525,302074,362317,238533,264884,195626,78916,365878,1535800,390590,133395,1888902,1231151,ZEROR,201085,135642,447304
7,Hanover,197371,482327,82712,257923,248935,223953,0,1061536,128490,239136,617578,585234,557434,365265,336513,175495,64927,273947,108407,406248,40356,203146,215996,77005,87449,337767,ZEROR,164075,752223,ZEROR,213840,364443,455487,360292,209480,688722,391465,269777,198098,157058,216646,300419,60629,503977,945231,123922,39955,1054724,598895,238322,392217,122301,457130,221855,597285,201342,145089,205131,230872,416404,286968,134218,222221,179340,192112,605030,224187,1736648,121435,140746,247292,195655,376757,359060,247330,621311,ZEROR,86325,215654,634730,514078,217672,190966,417046,514595,574838,113595,55105,32498,152982,578398,1507905,321948,151126,1861006,1290177,ZEROR,260112,229162,419408
8,Hemlo,1064686,1269870,1019172,926245,944765,1089431,1061536,0,1115039,1184687,1216081,1168975,1238741,1090365,984052,1134714,1103796,1066961,1098959,1280661,1077457,999466,1161548,1085066,982732,958929,ZEROR,1065942,383002,ZEROR,1159391,1126745,1241006,805673,1154975,556053,1069928,938057,1148668,1073197,849881,1164191,1099050,712959,293295,1084325,1048654,230085,1236520,1183873,1060496,1007360,746808,895908,472629,908202,1112789,995082,964185,787528,1150739,1010918,1167772,1043112,1157058,661973,1169739,779475,1044256,999520,1192843,1154874,822984,1233473,990404,1184002,ZEROR,1058060,966275,1235028,704329,1016571,1050670,1291459,1181958,1177239,1041040,1112399,1049145,1011385,1213356,448174,963600,1118197,801275,266759,ZEROR,905344,993207,776753
9,Galt,127921,398926,160658,302172,293184,137690,128490,1115039,0,133471,533690,501346,473546,377454,270255,52181,79472,193214,44524,322360,166072,172966,110331,44591,133321,271509,ZEROR,83544,806634,ZEROR,99200,283710,371599,404015,86000,732445,403654,313500,68973,72520,271057,219686,170528,547700,988954,44045,138437,1098446,515007,132657,388903,135848,500853,265578,651695,245065,32086,194084,221983,460127,204828,129517,104792,98608,58556,648753,118522,1727959,100322,124835,141627,72142,420480,275172,216132,537423,ZEROR,112005,195719,550842,557801,185602,124708,333158,430707,490950,107482,166241,102592,138508,494510,1562316,255690,35378,1822933,1333900,ZEROR,303835,267470,473819
10,Stevensville,244310,461121,280605,371820,362831,199885,239136,1184687,133471,0,595225,562881,535081,447698,387257,85336,211627,263458,134708,383895,299272,243210,29779,165130,223286,388511,ZEROR,200547,876878,ZEROR,37125,353954,433134,474259,51727,802689,473898,383744,104974,109023,341301,283289,291067,617944,1059198,178963,270469,1168690,576542,5548,459147,206092,571096,335821,721939,315309,107928,264328,338985,530371,266363,273161,30978,168852,92203,718997,34564,1844961,241900,195079,11241,78576,490723,336707,333134,598958,ZEROR,244160,312721,612377,628045,255845,241710,394693,492242,552485,251126,281566,211402,208752,556045,1632560,372692,103429,1985661,1404144,ZEROR,374079,337714,544063
11,Casselman,659233,139802,617259,375191,390784,405057,617578,1216081,533690,595225,0,60639,64750,235373,800801,545558,598737,374205,517257,223576,636208,444850,572392,552240,567501,802055,ZEROR,614090,873049,ZEROR,570235,248982,169017,410805,565819,739234,203817,383427,595673,487885,451238,347267,657801,554489,995743,580009,607405,1105236,23609,594717,240774,511876,507642,414072,750855,420105,523633,395422,752529,466916,348573,656214,578616,453101,570768,655542,580583,1963176,629371,486069,603687,565718,427269,265309,746678,36724,ZEROR,631270,726265,18725,564590,378283,655254,255153,94638,57302,634179,657669,588411,480266,45902,1631876,786236,529041,1984977,1340690,ZEROR,419418,353233,617148
12,Manotick,626889,107458,584915,328085,343678,372713,585234,1168975,501346,562881,60639,0,76750,188550,769373,514130,567309,270145,485828,192148,604780,413422,540963,520811,536073,770627,ZEROR,582662,826225,ZEROR,538807,175639,107851,363981,534391,692410,156993,336604,564245,456456,404414,248137,626373,507666,948920,548580,575977,1058412,86774,563289,193950,480448,460818,367248,704031,373281,492205,322079,721101,420092,317145,624786,547187,421673,539340,608718,549154,1916352,597943,454641,572259,534290,380445,233881,715249,41973,ZEROR,599842,694837,79787,517767,304941,623826,223725,48802,11493,602750,626240,556982,448838,51364,1585052,754808,497613,1938153,1293866,ZEROR,372594,306410,570325
13,Morrisburg,599089,79658,557115,397851,413445,344913,557434,1238741,473546,535081,64750,76750,0,258431,741917,486674,539853,315320,458372,164692,577324,385966,513507,493355,508617,743171,ZEROR,555206,896107,ZEROR,511351,247165,110133,433862,506935,762292,226874,406485,536789,429000,588201,288383,598917,577547,1018801,521124,548521,1128293,46340,535833,263831,452992,530700,437130,773912,483861,464749,396034,693645,489974,289689,597330,519731,394217,511884,678600,521698,1986234,570487,427185,544803,506834,450327,206425,687793,76103,ZEROR,572386,667381,82175,587648,378896,596370,196269,96341,65356,575294,598784,529526,421382,25378,1654933,727352,470157,2008035,1363747,ZEROR,442476,395764,640206
14,Palmer Rapids,502997,236530,327899,163897,179491,245627,365265,1090365,377454,447698,235373,188550,258431,0,644402,396612,442338,188831,360858,152485,380181,220885,423446,395841,286091,645656,ZEROR,457691,771004,ZEROR,421289,117049,189243,308759,416873,637189,31557,172588,446727,334832,240399,183891,401774,452444,893698,423610,351377,1003191,256678,445771,29869,295252,405597,203233,625890,202975,374687,202140,596130,364871,207406,499815,429670,282588,421823,553497,431637,1861131,472972,266835,454741,416772,325224,170261,590279,204161,ZEROR,474871,569866,255187,462545,199489,498855,177657,170600,197398,477780,430641,353495,255530,233515,1529830,629837,380095,1882932,1238645,ZEROR,208579,136104,448014
15,Kingsville,176018,666390,423783,569636,560648,405155,336513,984052,270255,387257,800801,769373,741917,644402,0,305171,274927,460618,311928,589763,366295,440370,363032,307192,397719,30196,ZEROR,199433,1074038,ZEROR,347609,551114,639003,671419,339156,999849,671058,580904,269488,325997,538461,487090,350111,815104,1155356,239514,366041,1092146,782411,385357,656307,403252,768256,532982,711682,512469,294409,461488,134788,727531,472232,205766,353201,366012,290549,916157,371223,1637362,217869,392239,394327,307079,687883,542576,101858,804827,ZEROR,260403,129651,818246,825205,453006,163201,600562,698111,758354,224116,307247,330196,405912,761914,1430343,23449,285678,1732336,1248928,ZEROR,571239,534874,741223
16,Caledonia,163310,411148,230633,321847,312859,149912,175495,1134714,52181,85336,545558,514130,486674,396612,305171,0,129347,212647,82522,334033,220910,192399,86747,99429,172474,307421,ZEROR,119457,826067,ZEROR,60487,303143,383273,423448,39133,751877,423086,332932,46469,58451,290489,233428,225366,567132,1008386,97873,185328,1117879,526681,109073,408336,155280,520285,285010,671128,264497,32888,213517,257895,479559,216502,192071,60976,118040,23874,668185,94938,1763871,160810,144268,96740,20199,439912,286846,252044,549097,ZEROR,174897,231632,562515,577233,205034,160620,344831,442380,502624,170036,215865,147946,157941,506184,1581748,291603,21050,1858845,1353333,ZEROR,323267,286903,493252
17,Atwood,133066,464327,136766,306055,297067,203091,64927,1103796,79472,211627,598737,567309,539853,442338,274927,129347,0,258969,88725,388114,108338,189887,186367,66848,126685,274820,ZEROR,99148,802445,ZEROR,184211,349465,437354,406173,163008,734603,469408,315658,136793,138274,266867,285441,110041,549858,991112,61733,92507,1100604,580762,208693,454658,120631,503010,267735,647506,247223,115460,210765,189269,462285,270582,80183,192592,164362,130808,650911,194558,1695245,59540,140958,217663,147337,422637,340927,193295,603178,ZEROR,45727,161618,616596,559959,204414,128019,398912,496461,556705,58147,95071,56904,153485,560265,1549681,259002,112386,1790219,1336058,ZEROR,305993,268448,469630
18,Millbrook,318757,239794,264162,165469,147558,61386,273947,1066961,193214,263458,374205,270145,315320,188831,460618,212647,258969,0,176984,163459,291580,71270,239572,211967,213113,461782,ZEROR,273817,758766,ZEROR,237415,95184,212699,323136,232999,651565,215128,170130,262853,150958,223189,43458,313173,466821,908075,239736,262777,1017567,356106,261897,200377,157488,419973,184698,603827,164185,190813,71900,412256,379247,30007,315941,245796,98714,237948,567873,247763,1845748,289098,132875,270867,232898,339600,116271,406405,311797,ZEROR,290997,385992,391941,476922,54762,314981,174257,228015,264508,293906,313040,243782,127072,335610,1514448,445963,196221,1867549,1253021,ZEROR,222955,78598,425951
19,Rockwood,170067,382846,131676,286092,277104,121611,108407,1098959,44524,134708,517257,485828,458372,360858,311928,82522,88725,176984,0,309725,151314,160331,110771,34956,98929,313487,ZEROR,125522,793999,ZEROR,108614,271075,358964,391380,104198,719810,391019,300865,117455,59885,258422,207051,158971,535065,976319,91440,117594,1085811,502372,133096,376268,76512,488217,252943,639060,232430,53870,181449,263961,447492,192193,167646,116995,85973,109487,636118,118962,1769937,140803,90241,142066,104436,407844,262537,258109,524788,ZEROR,136366,237697,538207,545166,172967,166685,320523,418072,478315,145610,149471,80213,125873,481875,1549681,297668,67760,1902782,1321265,ZEROR,291200,254835,461184
20,Yarker,447902,89166,405928,296993,279081,193727,406248,1280661,322360,383895,223576,192148,164692,152485,589763,334033,388114,163459,309725,0,425377,234019,361560,341409,356670,591224,ZEROR,403259,971831,ZEROR,359404,95218,62665,418802,354988,747232,183731,301752,384842,277053,436254,136436,446970,562487,1003741,369177,396574,1113234,206073,383886,179911,301045,515640,352427,816892,331914,312802,244087,541698,474914,137742,445383,367785,242270,359937,663540,369751,1971174,418540,275238,392856,354887,435267,54478,535846,228489,ZEROR,420439,515434,241907,572588,226949,444423,51069,98319,182016,423347,446838,377580,269435,185576,1639873,575405,318210,1992975,1348688,ZEROR,390684,243817,639016
21,Tara,233727,501798,54094,275189,266201,243424,40356,1077457,166072,299272,636208,604780,577324,380181,366295,220910,108338,291580,151314,425377,0,220428,277233,116820,104731,367823,ZEROR,204991,769505,ZEROR,275076,383891,474935,377574,270661,706004,408747,287059,237913,196067,233928,319867,24440,521259,962513,163737,34936,1072006,618343,299559,409499,139583,474412,239137,614567,218624,184904,222413,257172,433686,306416,160518,283457,198788,231927,622312,285424,1762948,160201,158028,308528,235470,394039,378508,273630,640759,ZEROR,122747,241954,654177,531360,234954,229732,436493,534042,594286,150574,62185,73437,170264,597846,1525187,352004,190941,1878288,1307460,ZEROR,277394,246444,436690
22,Sunderland,298509,310440,172149,155768,146780,44420,203146,999466,172966,243210,444850,413422,385966,220885,440370,192399,189887,71270,160331,234019,220428,0,219334,142126,130395,441545,ZEROR,253580,691320,ZEROR,217178,146526,283922,257066,212762,585495,247056,166550,242616,130721,155743,116172,231974,400750,842004,219498,181577,951497,427329,241660,227799,74782,353903,118628,536382,98115,170576,22236,392019,313177,102721,295704,225559,78476,217711,501803,227525,1778302,268861,52067,250630,212661,273530,187494,386167,363138,ZEROR,270760,365755,463164,410851,18950,294744,245480,279356,315849,273668,241151,179170,40762,406833,1447002,425726,175984,1800103,1186951,ZEROR,156885,84753,358506
23,Thorold,221171,437981,257466,348680,339692,176746,215996,1161548,110331,29779,572392,540963,513507,423446,363032,86747,186367,239572,110771,361560,277233,219334,0,139324,197480,362705,ZEROR,174741,851072,ZEROR,17365,328148,407328,448453,51362,776883,448092,357938,101407,83217,315495,257483,265261,592138,1033392,153157,244663,1142884,550736,32520,433341,180286,545290,310016,696133,289503,82122,238522,313179,504565,240557,247355,39086,143046,82085,693191,18385,1819155,216094,169273,41489,68678,464917,310901,307328,573153,ZEROR,218354,286915,586571,602239,230040,215904,368887,466436,526679,225320,255760,185596,182946,530240,1606754,346887,77623,1959855,1378338,ZEROR,348273,311908,518257
24,Elora,165331,417829,116249,272198,263210,156594,77005,1085066,44591,165130,552240,520811,493355,395841,307192,99429,66848,211967,34956,341409,116820,142126,139324,0,92199,316547,ZEROR,128583,779143,ZEROR,138339,303594,391483,376524,133979,704953,423537,286009,129995,92403,243566,239570,127495,520209,961463,81561,95404,1070955,534890,162822,408787,74954,473361,238086,624204,217573,69589,165087,267021,432635,224711,146216,146720,118491,101746,621261,148687,1772997,125573,95280,171792,120154,392988,295055,261170,557307,ZEROR,104890,240757,570725,530310,158736,169746,353041,450590,510833,124180,117995,56282,107808,514394,1534825,300728,75626,1867971,1306409,ZEROR,276344,238799,446328
25,Creemore,255858,433091,58260,185331,176343,164957,87449,982732,133321,223286,567501,536073,508617,286091,397719,172474,126685,213113,98929,356670,104731,130395,197480,92199,0,398980,ZEROR,211016,674695,ZEROR,199885,302875,404561,286409,195470,614838,310987,195893,225323,120876,139118,238851,126308,430093,871347,159879,75912,980840,547968,224368,318333,56671,383246,147971,519756,127458,153283,124654,305210,342520,225400,208557,208266,117772,200419,531146,210233,1761677,190336,74180,233337,195368,302873,308133,343603,470704,ZEROR,159039,289992,583803,440194,146142,252179,366119,463668,523912,186521,144361,67216,86045,527472,1430377,383162,158692,1783478,1216294,ZEROR,186228,148684,341880
26,Paquette Corner,177272,667645,425037,570891,561902,406409,337767,958929,271509,388511,802055,770627,743171,645656,30196,307421,274820,461782,313487,591224,367823,441545,362705,316547,398980,0,ZEROR,200487,1075092,ZEROR,348662,552168,640057,672473,340209,1000902,672111,581958,270542,327051,539515,488144,351164,816158,1130182,240568,367095,1066972,783465,386411,657361,404305,769310,534035,686509,513522,295463,462542,135841,728584,473285,206820,354254,367065,291603,917210,372276,1612188,218923,393293,395381,308132,688937,543630,102912,805881,ZEROR,261456,130705,819299,826259,454059,164254,601615,699164,759408,225170,308301,331249,406966,762968,1405169,16119,286732,1707162,1223754,ZEROR,572292,535928,742277
27,Cat Lake,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,0,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR
28,Harrietsville,45751,479680,237073,382926,373938,218444,164075,1065942,83544,200547,614090,582662,555206,457691,199433,119457,99148,273817,125522,403259,204991,253580,174741,128583,211016,200487,ZEROR,0,887169,ZEROR,160739,364245,452134,484550,152286,812979,484188,394034,81431,139127,351591,300221,208512,628234,1069488,52645,181567,1178981,595541,198488,469438,216382,581387,346112,732230,325599,107540,274619,151815,540661,285362,109245,166331,179142,103680,729287,184353,1657791,59861,205370,207458,120209,501014,355706,145964,617958,ZEROR,89806,125551,631376,638335,266136,41316,413692,511241,571485,74637,178552,145722,219043,575045,1512227,185522,98809,1752765,1330812,ZEROR,384369,348005,554354
29,Foleyet,932177,927813,709859,607106,625627,780119,752223,383002,806634,876878,873049,826225,896107,771004,1074038,826067,802445,758766,793999,971831,769505,691320,851072,779143,674695,1075092,ZEROR,887169,0,ZEROR,850317,817671,898952,463642,845901,174076,727874,619263,875755,764123,540807,855117,789976,331508,364797,852638,739580,474290,894465,874799,741703,698286,365356,586834,321230,599128,803715,686008,1025158,406077,841665,928843,858698,734038,850850,280522,860665,1159278,902000,690446,883769,845800,480929,924399,1019306,841947,ZEROR,833783,998894,892974,322877,707497,927883,982385,839904,835185,906808,806186,740071,702311,871302,827978,1058865,809123,1181079,646562,ZEROR,563290,684133,467679
30,Kingfisher Lake,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,0,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR,ZEROR
31,Pelham,205748,435824,255309,346523,337535,174589,213840,1159391,99200,37125,570235,538807,511351,421289,347609,60487,184211,237415,108614,359404,275076,217178,17365,138339,199885,348662,ZEROR,160739,850317,ZEROR,0,328471,407651,448775,35323,777205,448414,358260,85367,83539,315817,257805,265583,592460,1033714,140424,244985,1143207,551058,35528,433663,180608,545613,310338,696455,289825,82444,238844,300447,504887,240879,234623,18909,143368,66046,693513,35150,1806423,203361,169595,44498,52638,465240,311223,294595,573475,ZEROR,217449,274183,586893,602561,230362,203172,369209,466758,527001,212587,256082,185918,183268,530562,1607076,334154,63601,1901397,1378661,ZEROR,348595,312230,518579
32,Madoc,409253,171638,354659,207280,189369,151883,364443,1126745,283710,353954,248982,175639,247165,117049,551114,303143,349465,95184,271075,95218,383891,146526,328148,303594,302875,552168,ZEROR,364245,817671,ZEROR,328471,0,145181,352172,323245,680601,143249,212040,353099,241204,279200,73196,403419,495857,937111,329982,353023,1046603,232431,352143,139022,247734,449009,238367,662634,217397,281059,147137,502502,408283,93399,406187,336042,188960,328195,596909,338009,1904543,379344,223122,361113,323144,368636,48085,496651,216990,ZEROR,381243,476238,268016,505958,129999,405227,106740,133208,169700,384152,403287,334029,217318,197022,1573243,536209,286468,1926344,1282057,ZEROR,251992,150526,484758
